variable,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,
1850,-0.168157696,-0.122814984,0.002415684,0.047757249,-0.060198858,-0.058987717,-0.040634482,0.010060927037686941,0.028418160717237854,-0.015289539,-0.124430254,-0.106243077,-0.056042425,-0.037877405,-0.081127453,-0.058428668,-0.026402419,0.062074876893172606,0.094118393,0.017824307
1851,-0.173636459,-0.14016059,-0.047708653,-0.014236567,-0.09393201,-0.014114692,0.000804838,0.041997834112491694,0.056907716,0.021407997387233726,-0.087349145,-0.068220724,-0.015397567,0.003725263,-0.041805285,-0.095917911,-0.068732914,0.006263312,0.033385927,-0.031191727
1852,-0.161299789,-0.125184955,-0.025442336,0.010670244041509722,-0.07531209,-0.002643339,0.014433078,0.061559796,0.078609622,0.038014797,-0.082841826,-0.060682868,0.000514615,0.022671075,-0.030082401,-0.096987584,-0.067760744,0.012899195406831127,0.042081278,-0.027399871
1853,-0.115098145,-0.087067378,-0.009650722,0.018378848357683816,-0.048358223,-0.017373595,8.646415396071708e-05,0.048294939585166875,0.065744466,0.024197974226966297,-0.114944895,-0.093101582,-0.032787759,-0.010955544,-0.062937007,-0.043714515,-0.019993479,0.045538271,0.069271262,0.012764141
1854,-0.178011955,-0.108944199,0.081814312,0.1508820299265219,-0.013564917,-0.019474926,-0.002723778,0.043530515380898735,0.060273855,0.020408760334103528,-0.11823154,-0.097342838,-0.039669216,-0.018794261,-0.068496535,-0.076065727,-0.027753367,0.1057562802178349,0.15412332031946585,0.038963701029868326
1855,-0.24506003,-0.154544857,0.095449238,0.18596427190855985,-0.029547714,-0.001125159,0.016564974751013883,0.065382216,0.083042498,0.040994207,-0.105727418,-0.087122145,-0.035753295,-0.017160436,-0.061429148,-0.118998841,-0.059028621,0.10662609583305545,0.16661274060127967,0.023787395915031526
1856,-0.16876173,-0.129435969,-0.020824807,0.018498893941866226,-0.075128966,-0.012612693,0.007460236,0.062873007,0.082926568,0.035179994,-0.103451007,-0.081982491,-0.022699276,-0.001238568,-0.052335492,-0.081860431,-0.05243314,0.028830866671389427,0.058249925,-0.011795452
1857,-0.161565717,-0.110775083,0.029503169055403268,0.080293337,-0.040635635,-0.008877249,0.007031632,0.050947514,0.066839789,0.02900104,-0.094338222,-0.072205502,-0.011083659,0.011044266,-0.04164127,-0.082810844,-0.046812333,0.052612686,0.088611604,0.002899896
1858,-0.117657828,-0.06653311,0.074668501,0.1257932243712414,0.004067692,-0.030778078,-0.012743903,0.037061216,0.055092817,0.012160434607013349,-0.082704764,-0.062238553,-0.005717593,0.014745166957802466,-0.03397569,-0.061330172,-0.024544059,0.077100717,0.11391944187645761,0.026255810085696475
1859,-0.064684192,-0.017861225,0.11146027756146923,0.1582839156485317,0.046799063,-0.020235455,-0.00030337,0.054731024,0.074651432,0.027221888620968398,-0.079799443,-0.062811796,-0.015901238,0.00108083,-0.039352665,-0.03172824,0.00571528,0.10934201572518809,0.146938547,0.057422997
1860,-0.116566621,-0.075076804,0.039513967,0.081003675,-0.017781343,-0.004136317,0.016811001,0.074622167,0.095538106,0.045738251,-0.0985632,-0.079647456,-0.027416774,-0.0085103,-0.053525715,-0.047543665,-0.016723053,0.068452595,0.099310899,0.025838745
1861,-0.136403009,-0.09383949,0.023716323044538343,0.066279427,-0.035061297,-0.035248031,-0.018405875,0.028109947826644843,0.044951664,0.004852339,-0.117042588,-0.098514313,-0.047365245,-0.028854541,-0.072927646,-0.046613493,-0.015170379,0.071733495,0.10322077161880848,0.028251064830682238
1862,-0.222924469,-0.148515406,0.056994782,0.13140344093630404,-0.045760034,-0.067012333,-0.047410645,0.0067365,0.026344813932723612,-0.020341648,-0.095188846,-0.076285082,-0.024085942,-0.00519033,-0.050179883,-0.112303704,-0.062803707,0.073912069,0.12341315053988922,0.005553432
1863,-0.211275983,-0.132539335,0.084923644,0.16366018809968758,-0.023807774,-0.042290381,-0.028152883,0.010895822482814834,0.025034973840680742,-0.008629672,-0.066843528,-0.052530352,-0.013005062,0.001303524,-0.032764538,-0.11519326,-0.063652699,0.078700063,0.13024253621599996,0.007522362
1864,-0.126082695,-0.094661708,-0.007881594,0.023538191722062868,-0.051270822,-0.041741134,-0.023788243,0.025795909223009873,0.043748783,0.001003845,-0.076444392,-0.058099239,-0.007436619,0.010904953522850001,-0.032765456,-0.067294976,-0.043274288,0.023058347,0.047071635352158095,-0.010102862
1865,-0.18165237,-0.131376929,0.007477539,0.057751885,-0.061948938,-0.022478008,-0.004421125,0.045440159,0.063489723,0.020514571,-0.094718578,-0.079030684,-0.035719945,-0.02004489,-0.057366448,-0.080595196,-0.046676003,0.047005580233189716,0.080924775,0.000164788
1866,-0.170781176,-0.118660059,0.025292672,0.077413189,-0.046683279,-0.019753073,-0.000926336,0.051056837296302976,0.069873088,0.025072491,-0.04349172,-0.027384782,0.017100907683889208,0.033207745,-0.005141868,-0.112957831,-0.076596408,0.023784332,0.060112411,-0.026383015
1867,-0.113488522,-0.064082674,0.072371579,0.12177743238507521,0.004144449,-0.012027346,0.005425455,0.053606761,0.071043872,0.029526942511526804,-0.059295789,-0.039811297,0.014002292572432382,0.033486261745134374,-0.012904141,-0.070973064,-0.03627538,0.059565708233744685,0.094270191,0.011640469877142564
1868,-0.107162352,-0.067010258,0.043885935,0.084037981,-0.011562129,-0.017329479,0.00080306,0.050867433372296406,0.068988405,0.025843234228696246,-0.043736666,-0.024631348,0.028135734289103407,0.047241062,0.001752186,-0.078025851,-0.048883806,0.031597587234818605,0.060735172,-0.00864003
1869,-0.214424419,-0.137355286,0.075502072,0.15257102672598855,-0.030926484,-0.015236901,0.00502473,0.060962106686994914,0.081206851,0.033005078,-0.048993569,-0.031825775,0.015589712454055686,0.032757272,-0.008117869,-0.135870842,-0.084768723,0.056360976683599094,0.10745622624941269,-0.01419913
1870,-0.142773943,-0.088295068,0.062170333,0.11664916305529545,-0.013062336,-0.018305363,0.000519307,0.052495053,0.071307993,0.026515279,-0.084395942,-0.065145783,-0.011985205,0.007260227,-0.03856223,-0.071784179,-0.033884278,0.070813237,0.1087287788086715,0.018453680136216077
1871,-0.122000368,-0.077791353,0.044309608,0.088518532,-0.01674081,-0.013018267,0.006184535,0.059196685677326444,0.078381993,0.032702689,-0.079085609,-0.063781454,-0.021522878,-0.006225996,-0.042647144,-0.054608512,-0.023719946,0.061619234,0.092528005,0.018935693866012477
1872,-0.101846544,-0.065236719,0.035876012,0.072485752,-0.014680295,-0.004783664,0.014724089233311713,0.068564039,0.088043835,0.041663368,-0.068523277,-0.052393475,-0.007849252,0.008277108,-0.030118987,-0.051036888,-0.02475491,0.047845592,0.07413639,0.011539251
1873,-0.138162691,-0.090126566,0.042544402,0.090580358,-0.023790965,-0.016231032,0.007332823,0.072384681,0.095927343,0.039873386,-0.077507899,-0.059041688,-0.00804492,0.010417562459833704,-0.03354073,-0.071610486,-0.038143281,0.054294636,0.087765232,0.008073336
1874,-0.087643268,-0.054394172,0.037436622,0.070685687,-0.008478753,0.000505669,0.021719351910159126,0.080256285,0.10143141546620102,0.051014438,-0.037666814,-0.022184255,0.020577096653246304,0.036059653588115234,-0.000803577,-0.06193225,-0.037971332,0.028204051,0.052163237,-0.004882444
1875,-0.144432794,-0.078204854,0.1047104622694025,0.17093844068179712,0.013252777795143247,-0.015138575,0.006636068,0.066748719,0.088503926,0.036705813,-0.036241814,-0.016070221,0.039642379,0.059814394,0.011785788155776678,-0.106265577,-0.061506594,0.06211346,0.106872447,0.000303431
1876,-0.118063815,-0.062375576,0.09143011,0.14711840327060918,0.014527229446278057,-0.027102802,-0.002136775,0.066798846,0.091751717,0.03234012,-0.029428939,-0.009386224,0.045971257,0.066014993,0.018291811278173628,-0.094769834,-0.056397211,0.049583592321023245,0.087955689,-0.003406446
1877,-0.119052812,-0.08445404,0.011103703,0.045701917,-0.036674783,-0.021818925,0.000493231,0.062098232,0.084396593,0.031305256495307784,-0.038864653,-0.021873485,0.025054518,0.042045696,0.001590511,-0.087685007,-0.061208157,0.011863187030859874,0.038300068,-0.024644887
1878,-0.076154734,-0.043335653,0.047307525626577064,0.080126608,0.001985935,-0.031289046,-0.011821944,0.041939282043278826,0.061402724,0.015061195116124002,-0.055871274,-0.036630968,0.016508479369645133,0.035748463,-0.010061022,-0.051499828,-0.026393779,0.042953298,0.068064097,0.00827648
1879,-0.035217384,0.012361871728779672,0.1437737830229857,0.19135487675205945,0.078066558,-0.028173146,-0.012248903,0.031729754,0.047652126,0.009741718,-0.044342727,-0.028594567,0.014900099194448898,0.030648077,-0.006847108,-0.033584879,0.003565557,0.1063659955453603,0.14365725589996323,0.054868541
1880,-0.082636732,-0.02245168,0.14377491390307284,0.2039608434377908,0.060661011,-0.017057667,-0.000180732,0.046418012,0.063284995,0.023125512,-0.051039789,-0.027541883,0.037357182,0.060855151094795425,0.004907606,-0.068152398,-0.024611253,0.095714862,0.1393064194225333,0.035516995819708325
1881,-0.127352019,-0.076578486,0.063653158,0.11442667889305858,-0.006462656,-0.02597498,-0.00667852,0.046607503896698765,0.065897475,0.019968972554539118,-0.031670429,-0.012603276,0.040059218,0.059126975,0.013727553137348641,-0.098181242,-0.062699687,0.035284266,0.070756608,-0.01370135
1882,-0.090586544,-0.056585029,0.037323864,0.07132534,-0.009630556,-0.012442194,0.006101111,0.057292433079599074,0.075818707,0.031708531522195105,0.002068665,0.015603974,0.052994552518293395,0.066535178,0.034295593,-0.091463975,-0.065669562,0.005487887,0.031221281987256412,-0.030048706
1883,-0.133609405,-0.068631316,0.11083211382220748,0.17581030131130335,0.021100331099170363,-0.034191784,-0.018304308,0.025575025727529423,0.041462240105125295,0.003635539,-0.024940211,-0.007127225,0.042071995,0.05988603,0.017471661370959738,-0.102183875,-0.058685801,0.061451842,0.1049499927072596,0.001382968
1884,-0.05919927,-0.008273096,0.13238164512170586,0.18330890423208102,0.062053525,-0.357524601,-0.294758069,-0.121104313,-0.058121574,-0.208080477,-0.014805391,0.001652923,0.04711227,0.063572794,0.024381070996932368,-0.061420953,-0.026023671,0.071775726,0.10719869764165679,0.022858288
1885,-0.139933028,-0.068817204,0.12759817074668156,0.19871416934821673,0.029390363,-0.278487405,-0.229480866,-0.093898238,-0.044724254,-0.161805169,-0.022521143,-0.000735824,0.05943649,0.081224228,0.029348662688112287,-0.116020474,-0.067947993,0.0648235,0.11289589308573385,-0.001562185
1886,-0.136475867,-0.073255732,0.10135232131537869,0.16457250100798634,0.014048263644634771,-0.214845198,-0.174657479,-0.063509847,-0.02321135,-0.119160153,0.025313124668676933,0.044866990420996816,0.098895216,0.11846523825520142,0.071869948,-0.147811756,-0.102951319,0.020858769209700694,0.065653914,-0.041001192
1887,-0.105824832,-0.069499207,0.030828506095981433,0.067153983,-0.019335248,-0.152207894,-0.122329459,-0.039712806,-0.00976539,-0.081068762,0.021254705123052005,0.03504161,0.073137644,0.086937522,0.054080668548412994,-0.122056401,-0.091812241,-0.008480342,0.021619286743526735,-0.050046497
1888,-0.096874096,-0.051580782,0.073515092,0.11880844456898065,0.010967128862764812,-0.07242107,-0.055893251,-0.01021632,0.006332259,-0.033069121,0.015577400818434457,0.035569664,0.090803254,0.110807729,0.063178027,-0.118920174,-0.084484128,0.010529634,0.044896658,-0.036929589
1889,-0.04332952,-0.008093215,0.089227031,0.12446400653208647,0.040566445,-0.069410293,-0.053944071,-0.011198091,0.004289672,-0.032585954,0.023967376081145166,0.042088560388577376,0.092158539,0.11029492526176049,0.067113053,-0.084060605,-0.057437062,0.016056018,0.042651602076674226,-0.020671218
1890,-0.089088763,-0.046231108,0.07213773,0.11499544112361544,0.012953272379852322,-0.084692893,-0.063809477,-0.00610609,0.014795704,-0.034970473,0.016302344,0.040183703395334655,0.10616067581401782,0.13005574520546997,0.073162723,-0.126061839,-0.091009403,0.005677425,0.040639589,-0.042603659
1891,-0.084284584,-0.053244217,0.032486252042407536,0.063526569,-0.010378948,-0.113651295,-0.0902237,-0.025456993,-0.001984558,-0.057871308,-0.004272509,0.013044501378939848,0.060879097922261774,0.078200934,0.036958468,-0.093491059,-0.067825353,0.002962511,0.028556983986346596,-0.032382236
1892,-0.111550956,-0.06451885,0.065379348,0.11241145389250978,0.000430249,-0.082056746,-0.063843795,-0.013505746,0.004732995,-0.038692578,7.601923116077464e-05,0.015779249705600847,0.059157628,0.074866326,0.037464663,-0.104892411,-0.0716724,0.020029916174171016,0.05321503,-0.025797146
1893,-0.147827573,-0.067350661,0.15491937560891472,0.2353966288715601,0.043784121,-0.045580748,-0.030888652,0.009692831,0.024387327,-0.010599568,-0.011809882,0.011996187744501743,0.07775343,0.10156467448012511,0.044871236,-0.132178554,-0.077976927,0.071722371,0.12592368368387896,-0.003127061
1894,0.00696362,0.038513517018734976,0.12565555886123386,0.15720851984104622,0.082082422,-0.043316371,-0.029971001,0.006891967,0.020240470302760653,-0.011541681,-0.000689576,0.026737221368835946,0.10250028268789896,0.1299363918762328,0.064612322,-0.058237401,-0.030537719,0.045971329,0.073674751,0.007714222
1895,-0.03905003,0.003202303,0.11990099881930905,0.16215461829395664,0.061550762,-0.060383107,-0.040625942,0.013945370621746013,0.033705363770462224,-0.013342239,-0.004388368,0.015833093,0.071690842,0.091918095,0.043757967,-0.063779402,-0.033190888,0.051298111458577746,0.081891287,0.009050393
1896,-0.055095155,-0.021905014,0.069763336,0.1029537241619613,0.02392899,-0.028785882,-0.015378872,0.021649693,0.035056472,0.003135569,-0.012294853,0.010419706920180849,0.073161653,0.095880916,0.041787432535976186,-0.077662595,-0.050808381,0.023343535814662794,0.050185536443628075,-0.013723989
1897,-0.014470716,0.018615236529884782,0.10999796339298851,0.1430857094325437,0.064305362,-0.041483631,-0.022164488,0.031192684949316304,0.050511496,0.004514327,0.005825034,0.029553254030560402,0.095102166,0.11884039914173024,0.062320796,-0.06568029,-0.038976726,0.034775580426374075,0.061478858,-0.002100374
1898,-0.031207978,0.005994551,0.1087461455829396,0.14594994393168265,0.057369471672770615,-0.036955186,-0.016447589,0.040189461518443485,0.060694900680686496,0.011872426,0.007949678,0.029373781764270978,0.088558823,0.10999285235410235,0.058959448886533074,-0.070916351,-0.042900751,0.034474146,0.062488644,-0.004212541
1899,-0.021829534,0.022177975443678354,0.14372562455190058,0.18773537784813363,0.082950251,-0.054435279,-0.034940222,0.018904699974544872,0.038400793,-0.008018476,-0.001444407,0.023241723,0.091433713,0.11612798865319901,0.057332094,-0.065649435,-0.032474786,0.059163325,0.092347308,0.013337823672479827
1900,0.008233287,0.042461986173010294,0.13700305309579128,0.17123512693232654,0.089730189,-0.046157775,-0.0242352,0.036312142,0.058234194340471154,0.006038832,0.012611503641323109,0.0352178,0.09767073,0.1202889699579087,0.066436019,-0.052940928,-0.025937314,0.048655573,0.075667497,0.011353392007795202
1901,-0.065395723,-0.011903983,0.1358365301216798,0.1893292998049014,0.061965562463897506,-0.047737121,-0.024992025,0.037826977,0.060571504,0.006417869,0.045724606,0.068735935,0.13232811062761254,0.15536628780124376,0.10051348500688373,-0.122873188,-0.083942893,0.023522584305528532,0.062412117751412116,-0.03018201
1902,-0.067837407,-0.027024091,0.085698819,0.12651243763974207,0.029337155291019996,-0.041112319,-0.021275524,0.033510998,0.053347202,0.006118147,0.037847656312178776,0.060016044,0.12127431019923103,0.1434653567804389,0.090629532,-0.124279552,-0.090664765,0.002035848,0.035549091,-0.044244344
1903,-0.120448107,-0.066461231,0.082645405,0.1366322993685913,0.008092075,-0.206083275,-0.167611956,-0.061210328,-0.022632192,-0.114484896,0.041768773,0.065063644,0.12943613590020198,0.15275582695107465,0.097232753,-0.165954798,-0.122493268,-0.002672976,0.040631912,-0.062474965
1904,-0.207958778,-0.110787192,0.1575915882067361,0.2547632557977123,0.023402142485864134,-0.152415026,-0.122047848,-0.038085059,-0.007651597,-0.08011222,0.033485747,0.061637294,0.1394194985712165,0.16759299571348535,0.1005132406128452,-0.216349585,-0.148554179,0.038583197,0.10630106372702429,-0.054931953
1905,-0.192107366,-0.092595599,0.1822468252406962,0.28175888215034467,0.044825413,-0.111887781,-0.08578769,-0.01366064,0.012469201754177886,-0.049744706,0.027426941528709982,0.052150895,0.1204615410008425,0.14520391671047664,0.086293498,-0.190472445,-0.123614265,0.061006454,0.12783913876734412,-0.031286302
1906,-0.125407086,-0.080566705,0.043278005,0.088118275,-0.018644273,-0.065399626,-0.038852118,0.03446965,0.061017215179098847,-0.002191273,0.035582598,0.05705254,0.11638004344416017,0.13787139752401695,0.086701507,-0.168478531,-0.128085766,-0.016836862,0.023329923530424623,-0.07230528
1907,-0.106427737,-0.042387362,0.13448671006150825,0.19852756000489746,0.046049346,-0.107918592,-0.078357092,0.003309612,0.032886070675087815,-0.037534069,0.046159099,0.074130538,0.15142337739177475,0.17942261502745577,0.11275776351392951,-0.163442985,-0.115342662,0.017386124588622175,0.065399751,-0.048918407
1908,-0.071837032,-0.025511625,0.10243537125879335,0.14876123690192175,0.038461557,-0.073891097,-0.044811169,0.035505146,0.064585308,-0.004653173,0.063788951,0.094393402,0.17897150883287719,0.2096132734173033,0.13665669107343165,-0.173210649,-0.130038816,-0.011079147,0.031892228,-0.07042057
1909,-0.128446096,-0.06475166,0.11116647416776307,0.1748610316479388,0.023207323361806066,-0.061616006,-0.034188685,0.041562745945267314,0.06898991,0.003687138,0.086999052,0.11053597391829634,0.17561607763945875,0.1992061277518564,0.1430393417699572,-0.20869428,-0.156596835,-0.013040137,0.038817269,-0.084652744
1910,-0.080307949,-0.020169648,0.14592791739818367,0.20606716259752444,0.062878484,-0.049234268,-0.026240762,0.037264539,0.06025763,0.005512175,0.073450929,0.1025650369755661,0.18303454365151656,0.21219145791935407,0.1427702334721219,-0.172012929,-0.124549345,0.006363956,0.053699658,-0.059004395
1911,-0.124903527,-0.061427755,0.11388649780415029,0.17736242564330196,0.026229264121512316,-0.040965905,-0.017117238,0.048745960659956476,0.072591334,0.015816635,0.058712608868268505,0.083570842,0.15227412934108037,0.17716655290513963,0.11789887775261759,-0.182221875,-0.133079792,0.002437545,0.051428706315055014,-0.065216916
